Town,Year,Transactions
Plainfield,2020,292
Plainfield,2019,294
Plainfield,2018,72
Windham,2022,283
Windham,2021,363
Windham,2020,240
Windham,2019,46
Windham,2018,259
Wilton,2022,280
Wilton,2021,488
Wilton,2020,383
Wilton,2019,45
Wilton,2018,217
Bethel,2022,279
Bethel,2021,488
Bethel,2020,461
Bethel,2019,413
Bethel,2018,97
Colchester,2021,279
Colchester,2020,309
Colchester,2019,263
Colchester,2018,246
Colchester,2017,56
Griswold,2021,273
Griswold,2020,250
Griswold,2019,232
Griswold,2018,230
Griswold,2017,61
Bloomfield,2022,272
Bloomfield,2021,417
Bloomfield,2020,103
Bloomfield,2019,199
Bloomfield,2018,301
Monroe,2022,269
Monroe,2021,462
Monroe,2020,380
Monroe,2019,330
Monroe,2018,320
Cromwell,2022,265
Cromwell,2021,404
Cromwell,2020,276
Cromwell,2019,292
Cromwell,2018,68
Ansonia,2022,257
Ansonia,2021,354
Ansonia,2020,299
Ansonia,2019,256
Ansonia,2018,266
Suffield,2022,247
Suffield,2021,365
Suffield,2020,334
Suffield,2019,62
Suffield,2018,212
East Hampton,2022,245
East Hampton,2021,93
East Hampton,2020,265
East Hampton,2019,264
East Hampton,2018,311
Seymour,2022,243
Seymour,2021,103
Seymour,2020,188
Seymour,2019,299
Seymour,2018,295
Tolland,2022,240
Tolland,2021,370
Tolland,2020,85
Tolland,2019,201
Tolland,2018,237
Stafford,2022,233
Stafford,2021,119
Stafford,2020,133
Stafford,2019,287
Stafford,2018,323
Plymouth,2021,232
Plymouth,2020,234
Plymouth,2019,261
Plymouth,2018,287
Plymouth,2017,64
Wolcott,2022,231
Wolcott,2021,404
Wolcott,2020,256
Wolcott,2019,282
Wolcott,2018,277
Ellington,2022,230
Ellington,2021,83
Ellington,2020,228
Ellington,2019,256
Ellington,2018,271
Mansfield,2022,224
Mansfield,2021,307
Mansfield,2020,62
Mansfield,2019,175
Mansfield,2018,274
Middlebury,2021,214
Middlebury,2020,181
Middlebury,2019,179
Middlebury,2018,158
Middlebury,2017,45
Clinton,2022,213
Clinton,2021,94
Clinton,2020,244
Clinton,2019,296
Clinton,2018,294
New Fairfield,2022,211
New Fairfield,2021,346
New Fairfield,2020,129
New Fairfield,2019,177
New Fairfield,2018,240
Derby,2022,203
Derby,2021,162
Derby,2020,207
Derby,2019,191
Derby,2018,217
Coventry,2022,202
Coventry,2021,339
Coventry,2020,96
Coventry,2019,205
Coventry,2018,282
Weston,2022,201
Weston,2021,307
Weston,2020,245
Weston,2019,24
Weston,2018,137
Windsor Locks,2022,196
Windsor Locks,2021,293
Windsor Locks,2020,184
Windsor Locks,2019,49
Windsor Locks,2018,197
Rocky Hill,2022,191
Rocky Hill,2021,323
Rocky Hill,2020,229
Rocky Hill,2019,67
Rocky Hill,2018,294
Winchester,2022,189
Winchester,2021,313
Winchester,2020,198
Winchester,2019,205
Winchester,2018,219
Oxford,2022,182
Oxford,2021,77
Oxford,2020,174
Oxford,2019,249
Oxford,2018,240
Putnam,2022,171
Putnam,2021,255
Putnam,2020,82
Putnam,2019,159
Putnam,2018,227
Old Saybrook,2022,168
Old Saybrook,2021,346
Old Saybrook,2020,284
Old Saybrook,2019,50
Old Saybrook,2018,171
Woodbury,2022,167
Woodbury,2021,307
Woodbury,2020,181
Woodbury,2019,40
Woodbury,2018,140
Westbrook,2021,162
Westbrook,2020,173
Westbrook,2019,150
Westbrook,2018,174
Westbrook,2017,39
Portland,2022,162
Portland,2021,245
Portland,2020,189
Portland,2019,188
Portland,2018,196
Canton,2022,161
Canton,2021,260
Canton,2020,255
Canton,2019,61
Canton,2018,148
East Windsor,2022,159
East Windsor,2021,292
East Windsor,2020,267
East Windsor,2019,239
East Windsor,2018,65
East Haddam,2022,158
East Haddam,2021,261
East Haddam,2020,271
East Haddam,2019,201
East Haddam,2018,49
Litchfield,2022,156
Litchfield,2021,243
Litchfield,2020,275
Litchfield,2019,45
Litchfield,2018,121
North Branford,2022,154
North Branford,2021,61
North Branford,2020,132
North Branford,2019,142
North Branford,2018,137
Burlington,2022,154
Burlington,2021,226
Burlington,2020,275
Burlington,2019,192
Burlington,2018,208
Old Lyme,2022,153
Old Lyme,2021,274
Old Lyme,2020,54
Old Lyme,2019,182
Old Lyme,2018,211
Thompson,2022,151
Thompson,2021,267
Thompson,2020,65
Thompson,2019,144
Thompson,2018,199
Woodbridge,2022,151
Woodbridge,2021,160
Woodbridge,2020,123
Woodbridge,2019,138
Woodbridge,2018,155
Woodstock,2021,150
Woodstock,2020,149
Woodstock,2019,160
Woodstock,2018,186
Woodstock,2017,46
Redding,2022,147
Redding,2021,264
Redding,2020,230
Redding,2019,139
Redding,2018,39
Granby,2022,146
Granby,2021,270
Granby,2020,274
Granby,2019,218
Granby,2018,44
Hebron,2021,143
Hebron,2020,228
Hebron,2019,157
Hebron,2018,178
Hebron,2017,51
Thomaston,2021,138
Thomaston,2020,145
Thomaston,2019,131
Thomaston,2018,124
Thomaston,2017,117
Somers,2022,133
Somers,2021,50
Somers,2020,117
Somers,2019,153
Somers,2018,158
Prospect,2022,133
Prospect,2021,51
Prospect,2020,124
Prospect,2019,200
Prospect,2018,199
Essex,2022,130
Essex,2021,208
Essex,2020,228
Essex,2019,38
Essex,2018,133
Brooklyn,2022,127
Brooklyn,2021,57
Brooklyn,2020,158
Brooklyn,2019,173
Brooklyn,2018,184
Beacon Falls,2021,121
Beacon Falls,2020,142
Beacon Falls,2019,158
Beacon Falls,2018,131
Beacon Falls,2017,20
Haddam,2022,119
Haddam,2021,49
Haddam,2020,132
Haddam,2019,129
Haddam,2018,148
Killingworth,2021,117
Killingworth,2020,154
Killingworth,2019,119
Killingworth,2018,143
Killingworth,2017,31
New Hartford,2022,115
New Hartford,2021,151
New Hartford,2020,146
New Hartford,2019,129
New Hartford,2018,120
North Stonington,2022,112
North Stonington,2021,33
North Stonington,2020,51
North Stonington,2019,91
North Stonington,2018,106
Easton,2022,112
Easton,2021,186
Easton,2020,200
Easton,2019,145
Easton,2018,156
East Granby,2022,107
East Granby,2021,141
East Granby,2020,132
East Granby,2019,123
East Granby,2018,109
Preston,2022,104
Preston,2021,140
Preston,2020,120
Preston,2019,95
Preston,2018,34
Marlborough,2022,94
Marlborough,2021,35
Marlborough,2020,86
Marlborough,2019,120
Marlborough,2018,101
Salem,2021,94
Salem,2020,97
Salem,2019,78
Salem,2018,98
Salem,2017,97
