"town","sale_amount","property_type","list_year"
"Stamford","105000000","Commercial",2019
"Stamford","100000000","Commercial",2019
"Stamford","72000000","Commercial",2019
"Stamford","27250000","Commercial",2019
"Stamford","26782504","Commercial",2019
"Stamford","24081236","Condo",2019
"Stamford","20150000","Commercial",2019
"Stamford","20150000","Vacant Land",2019
"Stamford","8500000","Commercial",2019
"Stamford","6000000","Commercial",2019
"Stamford","5250000","Commercial",2019
"Stamford","4650000","Single Family",2019
"Stamford","4190000","Single Family",2019
"Stamford","4100000","Commercial",2019
"Stamford","3550000","Single Family",2019
"Stamford","3150000","Single Family",2019
"Stamford","3135000","Single Family",2019
"Stamford","2949000","Residential",2019
"Stamford","2925000","Single Family",2019
"Stamford","2800000","Single Family",2019
"Stamford","2718187","Single Family",2019
"Stamford","2650000","Commercial",2019
"Stamford","2600000","Single Family",2019
"Stamford","2595666","Single Family",2019
"Stamford","2560000","Single Family",2019
"Stamford","2550000","Single Family",2019
"Stamford","2400000","Condo",2019
"Stamford","2400000","Single Family",2019
"Stamford","2375000","Single Family",2019
"Stamford","2300000","Condo",2019
"Stamford","2300000","Single Family",2019
"Stamford","2295000","Single Family",2019
"Stamford","2200000","Single Family",2019
"Stamford","2112500","Single Family",2019
"Stamford","2100000","Single Family",2019
"Stamford","2050000","Single Family",2019
"Stamford","2000000","Apartments",2019
"Stamford","2000000","Commercial",2019
"Stamford","2000000","Condo",2019
"Stamford","2000000","Single Family",2019
"Stamford","1965000","Condo",2019
"Stamford","1950000","Condo",2019
"Stamford","1950000","Single Family",2019
"Stamford","1912500","Single Family",2019
"Stamford","1904388","Single Family",2019
"Stamford","1900000","Single Family",2019
"Stamford","1857500","Single Family",2019
"Stamford","1825000","Residential",2019
"Stamford","1825000","Single Family",2019
"Stamford","1800000","Commercial",2019
"Stamford","1800000","Residential",2019
"Stamford","1800000","Single Family",2019
"Stamford","1795000","Single Family",2019
"Stamford","1790000","Single Family",2019
"Stamford","1775000","Residential",2019
"Stamford","1760000","Single Family",2019
"Stamford","1750000","Single Family",2019
"Stamford","1741000","Single Family",2019
"Stamford","1730612","Single Family",2019
"Stamford","1730000","Residential",2019
"Stamford","1705000","Residential",2019
"Stamford","1700000","Single Family",2019
"Stamford","1695000","Single Family",2019
"Stamford","1680000","Single Family",2019
"Stamford","1675000","Condo",2019
"Stamford","1675000","Single Family",2019
"Stamford","1666750","Residential",2019
"Stamford","1650000","Single Family",2019
"Stamford","1647500","Single Family",2019
"Stamford","1640000","Single Family",2019
"Stamford","1635000","Single Family",2019
"Stamford","1630000","Single Family",2019
"Stamford","1620000","Single Family",2019
"Stamford","1610000","Single Family",2019
"Stamford","1600000","Commercial",2019
"Stamford","1600000","Single Family",2019
"Stamford","1582000","Industrial",2019
"Stamford","1575000","Single Family",2019
"Stamford","1573000","Industrial",2019
"Stamford","1560000","Residential",2019
"Stamford","1550000","Residential",2019
"Stamford","1550000","Single Family",2019
"Stamford","1545000","Single Family",2019
"Stamford","1535000","Single Family",2019
"Stamford","1525000","Vacant Land",2019
"Stamford","1515000","Single Family",2019
"Stamford","1514000","Condo",2019
"Stamford","1512500","Single Family",2019
"Stamford","1510000","Single Family",2019
"Stamford","1500000","Commercial",2019
"Stamford","1500000","Condo",2019
"Stamford","1500000","Single Family",2019
"Stamford","1485000","Single Family",2019
"Stamford","1484000","Single Family",2019
"Stamford","1480000","Single Family",2019
"Stamford","1450000","Residential",2019
"Stamford","1450000","Single Family",2019
"Stamford","1445000","Single Family",2019
"Stamford","1442000","Single Family",2019
"Stamford","1430000","Residential",2019
"Stamford","1430000","Single Family",2019
"Stamford","1425000","Single Family",2019
"Stamford","1412500","Single Family",2019
"Stamford","1402078","Commercial",2019
"Stamford","1400000","Condo",2019
"Stamford","1400000","Residential",2019
"Stamford","1400000","Single Family",2019
"Stamford","1399000","Single Family",2019
"Stamford","1390000","Residential",2019
"Stamford","1385000","Single Family",2019
"Stamford","1380000","Single Family",2019
"Stamford","1378375","Condo",2019
"Stamford","1375000","Single Family",2019
"Stamford","1374000","Single Family",2019
"Stamford","1365000","Condo",2019
"Stamford","1365000","Residential",2019
"Stamford","1360000","Single Family",2019
"Stamford","1350000","Single Family",2019
"Stamford","1340000","Single Family",2019
"Stamford","1337500","Single Family",2019
"Stamford","1335000","Condo",2019
"Stamford","1330000","Single Family",2019
"Stamford","1325000","Single Family",2019
"Stamford","1320000","Condo",2019
"Stamford","1317500","Single Family",2019
"Stamford","1312500","Single Family",2019
"Stamford","1311750","Single Family",2019
"Stamford","1310000","Single Family",2019
"Stamford","1308794","Condo",2019
"Stamford","1300000","Commercial",2019
"Stamford","1300000","Condo",2019
"Stamford","1300000","Residential",2019
"Stamford","1300000","Single Family",2019
"Stamford","1299000","Single Family",2019
"Stamford","1295000","Residential",2019
"Stamford","1285000","Condo",2019
"Stamford","1285000","Single Family",2019
"Stamford","1277845","Condo",2019
"Stamford","1275000","Single Family",2019
"Stamford","1270000","Single Family",2019
"Stamford","1260658","Single Family",2019
"Stamford","1260000","Single Family",2019
"Stamford","1255310","Condo",2019
"Stamford","1250000","Commercial",2019
"Stamford","1250000","Condo",2019
"Stamford","1250000","Residential",2019
"Stamford","1250000","Single Family",2019
"Stamford","1249000","Single Family",2019
"Stamford","1245000","Industrial",2019
"Stamford","1245000","Residential",2019
"Stamford","1237500","Condo",2019
"Stamford","1237500","Single Family",2019
"Stamford","1233000","Single Family",2019
"Stamford","1232943","Condo",2019
"Stamford","1232756","Single Family",2019
"Stamford","1232500","Single Family",2019
"Stamford","1230000","Residential",2019
"Stamford","1225000","Condo",2019
"Stamford","1225000","Single Family",2019
"Stamford","1220000","Single Family",2019
"Stamford","1215000","Single Family",2019
"Stamford","1210000","Single Family",2019
"Stamford","1208450","Condo",2019
"Stamford","1208000","Single Family",2019
"Stamford","1203000","Condo",2019
"Stamford","1202250","Condo",2019
"Stamford","1200000","Commercial",2019
"Stamford","1200000","Condo",2019
"Stamford","1200000","Residential",2019
"Stamford","1200000","Single Family",2019
"Stamford","1195415","Condo",2019
"Stamford","1190000","Single Family",2019
"Stamford","1185000","Single Family",2019
"Stamford","1175104","Residential",2019
"Stamford","1175000","Condo",2019
"Stamford","1175000","Single Family",2019
"Stamford","1172500","Condo",2019
"Stamford","1165000","Single Family",2019
"Stamford","1162500","Single Family",2019
"Stamford","1162000","Single Family",2019
"Stamford","1160000","Single Family",2019
"Stamford","1159331","Condo",2019
"Stamford","1153120","Condo",2019
"Stamford","1152500","Single Family",2019
"Stamford","1150000","Residential",2019
"Stamford","1150000","Single Family",2019
"Stamford","1146000","Single Family",2019
"Stamford","1140000","Condo",2019
"Stamford","1137500","Single Family",2019
"Stamford","1132000","Single Family",2019
"Stamford","1130600","Single Family",2019
"Stamford","1130000","Single Family",2019
"Stamford","1125000","Residential",2019
"Stamford","1125000","Single Family",2019
"Stamford","1120000","Condo",2019
"Stamford","1120000","Single Family",2019
"Stamford","1115500","Single Family",2019
"Stamford","1115000","Single Family",2019
"Stamford","1100000","Condo",2019
"Stamford","1100000","Residential",2019
"Stamford","1100000","Single Family",2019
"Stamford","1087500","Single Family",2019
"Stamford","1085000","Single Family",2019
"Stamford","1080380","Condo",2019
"Stamford","1080000","Single Family",2019
"Stamford","1079000","Residential",2019
"Stamford","1078313","Single Family",2019
"Stamford","1075000","Single Family",2019
"Stamford","1070000","Single Family",2019
"Stamford","1069000","Single Family",2019
"Stamford","1050524","Single Family",2019
"Stamford","1050000","Residential",2019
"Stamford","1050000","Single Family",2019
"Stamford","1047000","Residential",2019
"Stamford","1042000","Single Family",2019
"Stamford","1040000","Condo",2019
"Stamford","1035000","Single Family",2019
"Stamford","1025000","Single Family",2019
"Stamford","1020790","Condo",2019
"Stamford","1020000","Residential",2019
"Stamford","1017500","Single Family",2019
"Stamford","1015000","Residential",2019
"Stamford","1015000","Single Family",2019
"Stamford","1012500","Single Family",2019
"Stamford","1010000","Single Family",2019
"Stamford","1007500","Single Family",2019
"Stamford","1000000","Commercial",2019
"Stamford","1000000","Condo",2019
"Stamford","1000000","Residential",2019
"Stamford","1000000","Single Family",2019
"Stamford","999000","Single Family",2019
"Stamford","995000","Single Family",2019
"Stamford","992500","Single Family",2019
"Stamford","991500","Single Family",2019
"Stamford","985000","Condo",2019
"Stamford","983000","Single Family",2019
"Stamford","979000","Single Family",2019
"Stamford","977250","Single Family",2019
"Stamford","975000","Condo",2019
"Stamford","975000","Single Family",2019
"Stamford","970000","Single Family",2019
"Stamford","967500","Single Family",2019
"Stamford","966200","Condo",2019
"Stamford","965000","Single Family",2019
"Stamford","962500","Single Family",2019
"Stamford","962000","Single Family",2019
"Stamford","960000","Residential",2019
"Stamford","958000","Residential",2019
"Stamford","954000","Residential",2019
"Stamford","953900","Single Family",2019
"Stamford","950000","Commercial",2019
"Stamford","950000","Condo",2019
"Stamford","950000","Residential",2019
"Stamford","950000","Single Family",2019
"Stamford","947500","Single Family",2019
"Stamford","946929","Condo",2019
"Stamford","945000","Residential",2019
"Stamford","942500","Single Family",2019
"Stamford","940000","Residential",2019
"Stamford","940000","Single Family",2019
"Stamford","935000","Single Family",2019
"Stamford","932500","Single Family",2019
"Stamford","927500","Single Family",2019
"Stamford","925000","Single Family",2019
"Stamford","920000","Single Family",2019
"Stamford","917500","Two Family",2019
"Stamford","916000","Single Family",2019
"Stamford","915000","Single Family",2019
"Stamford","913000","Single Family",2019
"Stamford","912400","Single Family",2019
"Stamford","908651","Condo",2019
"Stamford","905000","Single Family",2019
"Stamford","900000","Condo",2019
"Stamford","900000","Residential",2019
"Stamford","900000","Single Family",2019
"Stamford","899000","Single Family",2019
"Stamford","897250","Residential",2019
"Stamford","897213","Single Family",2019
"Stamford","895000","Single Family",2019
"Stamford","892242","Condo",2019
"Stamford","891500","Single Family",2019
"Stamford","890000","Single Family",2019
"Stamford","889500","Condo",2019
"Stamford","887000","Single Family",2019
"Stamford","885000","Residential",2019
"Stamford","885000","Single Family",2019
"Stamford","884500","Single Family",2019
"Stamford","880100","Single Family",2019
"Stamford","880000","Condo",2019
"Stamford","880000","Single Family",2019
"Stamford","879000","Single Family",2019
"Stamford","877000","Single Family",2019
"Stamford","876000","Residential",2019
"Stamford","875500","Residential",2019
"Stamford","875000","Single Family",2019
"Stamford","872000","Single Family",2019
"Stamford","871469","Condo",2019
"Stamford","870500","Single Family",2019
"Stamford","870000","Residential",2019
"Stamford","870000","Single Family",2019
"Stamford","868000","Single Family",2019
"Stamford","866667","Single Family",2019
"Stamford","865000","Condo",2019
"Stamford","865000","Residential",2019
"Stamford","865000","Single Family",2019
"Stamford","862500","Single Family",2019
"Stamford","862485","Condo",2019
"Stamford","860000","Single Family",2019
"Stamford","857400","Single Family",2019
"Stamford","855000","Condo",2019
"Stamford","855000","Residential",2019
"Stamford","855000","Single Family",2019
"Stamford","851500","Single Family",2019
"Stamford","850000","Residential",2019
"Stamford","850000","Single Family",2019
"Stamford","849500","Single Family",2019
"Stamford","849000","Single Family",2019
"Stamford","848000","Condo",2019
"Stamford","846000","Single Family",2019
"Stamford","845800","Condo",2019
"Stamford","845000","Residential",2019
"Stamford","845000","Single Family",2019
"Stamford","841000","Single Family",2019
"Stamford","840000","Residential",2019
"Stamford","840000","Single Family",2019
"Stamford","837500","Single Family",2019
"Stamford","835000","Condo",2019
"Stamford","835000","Single Family",2019
"Stamford","833250","Residential",2019
"Stamford","832527","Condo",2019
"Stamford","830000","Condo",2019
"Stamford","830000","Single Family",2019
"Stamford","829800","Single Family",2019
"Stamford","827500","Single Family",2019
"Stamford","825000","Condo",2019
"Stamford","825000","Single Family",2019
"Stamford","824500","Single Family",2019
"Stamford","821000","Single Family",2019
"Stamford","820350","Condo",2019
"Stamford","820000","Condo",2019
"Stamford","820000","Single Family",2019
"Stamford","817500","Condo",2019
"Stamford","817500","Single Family",2019
"Stamford","817000","Single Family",2019
"Stamford","815582","Single Family",2019
"Stamford","815500","Single Family",2019
"Stamford","815000","Condo",2019
"Stamford","815000","Single Family",2019
"Stamford","814500","Single Family",2019
"Stamford","813750","Single Family",2019
"Stamford","813530","Condo",2019
"Stamford","813000","Condo",2019
"Stamford","813000","Single Family",2019
"Stamford","811250","Single Family",2019
"Stamford","810000","Condo",2019
"Stamford","810000","Single Family",2019
"Stamford","808750","Single Family",2019
"Stamford","808000","Single Family",2019
"Stamford","807500","Single Family",2019
"Stamford","807281","Single Family",2019
"Stamford","807000","Residential",2019
"Stamford","807000","Single Family",2019
"Stamford","805000","Single Family",2019
"Stamford","802500","Single Family",2019
"Stamford","802000","Single Family",2019
"Stamford","800000","Residential",2019
"Stamford","800000","Single Family",2019
"Stamford","799000","Single Family",2019
"Stamford","798500","Single Family",2019
"Stamford","798000","Single Family",2019
"Stamford","797500","Single Family",2019
"Stamford","795000","Condo",2019
"Stamford","795000","Single Family",2019
"Stamford","792500","Single Family",2019
"Stamford","791000","Condo",2019
"Stamford","791000","Single Family",2019
"Stamford","790000","Condo",2019
"Stamford","790000","Residential",2019
"Stamford","790000","Single Family",2019
"Stamford","789000","Single Family",2019
"Stamford","785000","Single Family",2019
"Stamford","784500","Single Family",2019
"Stamford","780000","Condo",2019
"Stamford","780000","Single Family",2019
"Stamford","779500","Single Family",2019
"Stamford","777500","Single Family",2019
"Stamford","777000","Single Family",2019
"Stamford","776000","Single Family",2019
"Stamford","775300","Single Family",2019
"Stamford","775000","Condo",2019
"Stamford","775000","Residential",2019
"Stamford","775000","Single Family",2019
"Stamford","774482","Single Family",2019
"Stamford","770000","Condo",2019
"Stamford","770000","Single Family",2019
"Stamford","769500","Single Family",2019
"Stamford","769000","Single Family",2019
"Stamford","767000","Residential",2019
"Stamford","766000","Residential",2019
"Stamford","765100","Single Family",2019
"Stamford","765000","Residential",2019
"Stamford","765000","Single Family",2019
"Stamford","764500","Single Family",2019
"Stamford","764200","Condo",2019
"Stamford","764000","Condo",2019
"Stamford","762000","Condo",2019
"Stamford","761200","Condo",2019
"Stamford","760000","Residential",2019
"Stamford","760000","Single Family",2019
"Stamford","759000","Single Family",2019
"Stamford","758900","Single Family",2019
"Stamford","757000","Single Family",2019
"Stamford","755535","Condo",2019
"Stamford","755000","Condo",2019
"Stamford","755000","Single Family",2019
"Stamford","754000","Single Family",2019
"Stamford","751000","Single Family",2019
"Stamford","750000","Condo",2019
"Stamford","750000","Residential",2019
"Stamford","750000","Single Family",2019
"Stamford","749000","Single Family",2019
"Stamford","747700","Single Family",2019
"Stamford","747000","Single Family",2019
"Stamford","746000","Single Family",2019
"Stamford","745000","Condo",2019
"Stamford","745000","Single Family",2019
"Stamford","744000","Condo",2019
"Stamford","744000","Single Family",2019
"Stamford","743000","Single Family",2019
"Stamford","742535","Condo",2019
"Stamford","742000","Single Family",2019
"Stamford","741114","Condo",2019
"Stamford","740750","Single Family",2019
"Stamford","740500","Single Family",2019
"Stamford","740000","Condo",2019
"Stamford","740000","Residential",2019
"Stamford","740000","Single Family",2019
"Stamford","739000","Single Family",2019
"Stamford","738719","Single Family",2019
"Stamford","738500","Single Family",2019
"Stamford","737500","Single Family",2019
"Stamford","737311","Single Family",2019
"Stamford","735000","Condo",2019
"Stamford","735000","Single Family",2019
"Stamford","734000","Single Family",2019
"Stamford","733000","Condo",2019
"Stamford","733000","Single Family",2019
"Stamford","732500","Residential",2019
"Stamford","732000","Single Family",2019
"Stamford","731500","Single Family",2019
"Stamford","730000","Residential",2019
"Stamford","730000","Single Family",2019
"Stamford","729000","Residential",2019
"Stamford","729000","Single Family",2019
"Stamford","728604","Single Family",2019
"Stamford","727000","Single Family",2019
"Stamford","726500","Single Family",2019
"Stamford","726000","Single Family",2019
"Stamford","725000","Commercial",2019
"Stamford","725000","Residential",2019
"Stamford","725000","Single Family",2019
"Stamford","724000","Single Family",2019
"Stamford","722500","Single Family",2019
"Stamford","722000","Single Family",2019
"Stamford","721000","Single Family",2019
"Stamford","720600","Single Family",2019
"Stamford","720000","Condo",2019
"Stamford","720000","Single Family",2019
"Stamford","719000","Single Family",2019
"Stamford","717500","Single Family",2019
"Stamford","717000","Single Family",2019
"Stamford","715000","Residential",2019
"Stamford","715000","Single Family",2019
"Stamford","714700","Single Family",2019
"Stamford","713000","Single Family",2019
"Stamford","712500","Single Family",2019
"Stamford","712000","Single Family",2019
"Stamford","711000","Single Family",2019
"Stamford","710000","Single Family",2019
"Stamford","709000","Single Family",2019
"Stamford","708500","Single Family",2019
"Stamford","707500","Single Family",2019
"Stamford","707000","Three Family",2019
"Stamford","705000","Single Family",2019
"Stamford","703000","Single Family",2019
"Stamford","702500","Residential",2019
"Stamford","702250","Single Family",2019
"Stamford","702000","Single Family",2019
"Stamford","701495","Single Family",2019
"Stamford","701000","Single Family",2019
"Stamford","700000","Condo",2019
"Stamford","700000","Single Family",2019
"Stamford","699900","Single Family",2019
"Stamford","699000","Single Family",2019
"Stamford","695000","Condo",2019
"Stamford","695000","Single Family",2019
"Stamford","694000","Single Family",2019
"Stamford","693000","Single Family",2019
"Stamford","692500","Condo",2019
"Stamford","692000","Single Family",2019
"Stamford","690000","Residential",2019
"Stamford","690000","Single Family",2019
"Stamford","689750","Single Family",2019
"Stamford","688750","Single Family",2019
"Stamford","688000","Single Family",2019
"Stamford","687500","Single Family",2019
"Stamford","685000","Condo",2019
"Stamford","685000","Residential",2019
"Stamford","685000","Single Family",2019
"Stamford","684900","Single Family",2019
"Stamford","683500","Single Family",2019
"Stamford","680000","Condo",2019
"Stamford","680000","Residential",2019
"Stamford","680000","Single Family",2019
"Stamford","678400","Single Family",2019
"Stamford","678000","Single Family",2019
"Stamford","677000","Single Family",2019
"Stamford","675000","Condo",2019
"Stamford","675000","Residential",2019
"Stamford","675000","Single Family",2019
"Stamford","672500","Single Family",2019
"Stamford","672000","Single Family",2019
"Stamford","671000","Single Family",2019
"Stamford","670000","Condo",2019
"Stamford","670000","Single Family",2019
"Stamford","669500","Single Family",2019
"Stamford","669000","Single Family",2019
"Stamford","668000","Single Family",2019
"Stamford","666000","Single Family",2019
"Stamford","665000","Single Family",2019
"Stamford","664500","Single Family",2019
"Stamford","663500","Single Family",2019
"Stamford","663000","Single Family",2019
"Stamford","662500","Residential",2019
"Stamford","661000","Condo",2019
"Stamford","660000","Condo",2019
"Stamford","660000","Residential",2019
"Stamford","660000","Single Family",2019
"Stamford","659000","Single Family",2019
"Stamford","658000","Condo",2019
"Stamford","658000","Single Family",2019
"Stamford","657500","Single Family",2019
"Stamford","656940","Single Family",2019
"Stamford","656875","Single Family",2019
"Stamford","656500","Single Family",2019
"Stamford","656250","Single Family",2019
"Stamford","655000","Single Family",2019
"Stamford","654800","Residential",2019
"Stamford","654700","Single Family",2019
"Stamford","654675","Single Family",2019
"Stamford","654198","Condo",2019
"Stamford","653000","Single Family",2019
"Stamford","652500","Single Family",2019
"Stamford","652000","Single Family",2019
"Stamford","650000","Commercial",2019
"Stamford","650000","Condo",2019
"Stamford","650000","Residential",2019
"Stamford","650000","Single Family",2019
"Stamford","649500","Residential",2019
"Stamford","649000","Residential",2019
"Stamford","648000","Single Family",2019
"Stamford","647500","Single Family",2019
"Stamford","646750","Single Family",2019
"Stamford","645000","Single Family",2019
"Stamford","643842","Three Family",2019
"Stamford","642900","Single Family",2019
"Stamford","642500","Residential",2019
"Stamford","642500","Single Family",2019
"Stamford","642000","Single Family",2019
"Stamford","640397","Single Family",2019
"Stamford","640350","Single Family",2019
"Stamford","640000","Condo",2019
"Stamford","640000","Single Family",2019
"Stamford","639900","Four Family",2019
"Stamford","639000","Single Family",2019
"Stamford","638000","Single Family",2019
"Stamford","637500","Condo",2019
"Stamford","637500","Single Family",2019
"Stamford","637000","Single Family",2019
"Stamford","636500","Single Family",2019
"Stamford","636443","Single Family",2019
"Stamford","636000","Single Family",2019
"Stamford","635000","Condo",2019
"Stamford","635000","Residential",2019
"Stamford","635000","Single Family",2019
"Stamford","634405","Single Family",2019
"Stamford","634000","Single Family",2019
"Stamford","633750","Single Family",2019
"Stamford","633500","Single Family",2019
"Stamford","632666","Apartments",2019
"Stamford","632500","Single Family",2019
"Stamford","630000","Residential",2019
"Stamford","630000","Single Family",2019
"Stamford","629000","Single Family",2019
"Stamford","627800","Single Family",2019
"Stamford","627500","Single Family",2019
"Stamford","627000","Single Family",2019
"Stamford","626000","Single Family",2019
"Stamford","625000","Condo",2019
"Stamford","625000","Residential",2019
"Stamford","625000","Single Family",2019
"Stamford","624000","Condo",2019
"Stamford","624000","Single Family",2019
"Stamford","623000","Condo",2019
"Stamford","623000","Single Family",2019
"Stamford","622000","Single Family",2019
"Stamford","621000","Condo",2019
"Stamford","621000","Residential",2019
"Stamford","620000","Condo",2019
"Stamford","620000","Single Family",2019
"Stamford","620000","Two Family",2019
"Stamford","619000","Single Family",2019
"Stamford","618000","Single Family",2019
"Stamford","617750","Single Family",2019
"Stamford","617600","Residential",2019
"Stamford","617500","Single Family",2019
"Stamford","615750","Single Family",2019
"Stamford","615000","Condo",2019
"Stamford","615000","Single Family",2019
"Stamford","614270","Single Family",2019
"Stamford","614000","Condo",2019
"Stamford","613800","Single Family",2019
"Stamford","613525","Condo",2019
"Stamford","612500","Condo",2019
"Stamford","612500","Single Family",2019
"Stamford","612000","Single Family",2019
"Stamford","610500","Single Family",2019
"Stamford","610000","Condo",2019
"Stamford","610000","Residential",2019
"Stamford","610000","Single Family",2019
"Stamford","609000","Residential",2019
"Stamford","609000","Single Family",2019
"Stamford","608020","Single Family",2019
"Stamford","608000","Condo",2019
"Stamford","608000","Single Family",2019
"Stamford","607500","Condo",2019
"Stamford","607500","Single Family",2019
"Stamford","607000","Residential",2019
"Stamford","605454","Single Family",2019
"Stamford","605000","Residential",2019
"Stamford","605000","Single Family",2019
"Stamford","603500","Single Family",2019
"Stamford","603328","Single Family",2019
"Stamford","603000","Single Family",2019
"Stamford","602500","Single Family",2019
"Stamford","601000","Single Family",2019
"Stamford","600500","Single Family",2019
"Stamford","600000","Condo",2019
"Stamford","600000","Residential",2019
"Stamford","600000","Single Family",2019
"Stamford","599000","Single Family",2019
"Stamford","598000","Single Family",2019
"Stamford","597500","Single Family",2019
"Stamford","596500","Single Family",2019
"Stamford","596000","Single Family",2019
"Stamford","596000","Three Family",2019
"Stamford","595000","Condo",2019
"Stamford","595000","Single Family",2019
"Stamford","595000","Two Family",2019
"Stamford","594000","Residential",2019
"Stamford","592500","Single Family",2019
"Stamford","592000","Single Family",2019
"Stamford","591000","Single Family",2019
"Stamford","590000","Condo",2019
"Stamford","590000","Residential",2019
"Stamford","590000","Single Family",2019
"Stamford","589000","Single Family",2019
"Stamford","588000","Single Family",2019
"Stamford","587600","Single Family",2019
"Stamford","587500","Residential",2019
"Stamford","587500","Single Family",2019
"Stamford","587000","Single Family",2019
"Stamford","585000","Condo",2019
"Stamford","585000","Residential",2019
"Stamford","585000","Single Family",2019
"Stamford","585000","Two Family",2019
"Stamford","583500","Single Family",2019
"Stamford","582000","Residential",2019
"Stamford","582000","Single Family",2019
"Stamford","581000","Condo",2019
"Stamford","581000","Single Family",2019
"Stamford","580000","Condo",2019
"Stamford","580000","Single Family",2019
"Stamford","580000","Two Family",2019
"Stamford","578900","Single Family",2019
"Stamford","578750","Single Family",2019
"Stamford","578000","Condo",2019
"Stamford","578000","Single Family",2019
"Stamford","577500","Single Family",2019
"Stamford","577000","Single Family",2019
"Stamford","576000","Single Family",2019
"Stamford","575743","Single Family",2019
"Stamford","575000","Condo",2019
"Stamford","575000","Residential",2019
"Stamford","575000","Single Family",2019
"Stamford","574500","Condo",2019
"Stamford","574350","Single Family",2019
"Stamford","573000","Single Family",2019
"Stamford","572500","Single Family",2019
"Stamford","572250","Single Family",2019
"Stamford","572161","Single Family",2019
"Stamford","572000","Single Family",2019
"Stamford","571500","Single Family",2019
"Stamford","571000","Condo",2019
"Stamford","571000","Single Family",2019
"Stamford","570000","Condo",2019
"Stamford","570000","Single Family",2019
"Stamford","569000","Single Family",2019
"Stamford","568000","Condo",2019
"Stamford","567500","Single Family",2019
"Stamford","566600","Single Family",2019
"Stamford","565000","Condo",2019
"Stamford","565000","Residential",2019
"Stamford","565000","Single Family",2019
"Stamford","565000","Two Family",2019
"Stamford","563000","Condo",2019
"Stamford","562500","Condo",2019
"Stamford","561000","Single Family",2019
"Stamford","560000","Condo",2019
"Stamford","560000","Residential",2019
"Stamford","560000","Single Family",2019
"Stamford","559000","Single Family",2019
"Stamford","557500","Single Family",2019
"Stamford","557000","Commercial",2019
"Stamford","556500","Single Family",2019
"Stamford","556000","Condo",2019
"Stamford","556000","Single Family",2019
"Stamford","555250","Single Family",2019
"Stamford","555000","Condo",2019
"Stamford","555000","Single Family",2019
"Stamford","554250","Single Family",2019
"Stamford","554000","Single Family",2019
"Stamford","553000","Single Family",2019
"Stamford","552667","Single Family",2019
"Stamford","552500","Single Family",2019
"Stamford","552000","Single Family",2019
"Stamford","550000","Condo",2019
"Stamford","550000","Four Family",2019
"Stamford","550000","Residential",2019
"Stamford","550000","Single Family",2019
"Stamford","550000","Two Family",2019
"Stamford","550000","Vacant Land",2019
"Stamford","549000","Single Family",2019
"Stamford","548000","Single Family",2019
"Stamford","547500","Condo",2019
"Stamford","547500","Single Family",2019
"Stamford","545612","Single Family",2019
"Stamford","545500","Condo",2019
"Stamford","545000","Condo",2019
"Stamford","545000","Residential",2019
"Stamford","545000","Single Family",2019
"Stamford","544500","Single Family",2019
"Stamford","543840","Condo",2019
"Stamford","543000","Condo",2019
"Stamford","543000","Single Family",2019
"Stamford","542500","Single Family",2019
"Stamford","542000","Single Family",2019
"Stamford","540544","Condo",2019
"Stamford","540500","Single Family",2019
"Stamford","540000","Condo",2019
"Stamford","540000","Residential",2019
"Stamford","540000","Single Family",2019
"Stamford","539999","Single Family",2019
"Stamford","538500","Single Family",2019
"Stamford","538250","Single Family",2019
"Stamford","537500","Condo",2019
"Stamford","537500","Residential",2019
"Stamford","537500","Single Family",2019
"Stamford","537400","Condo",2019
"Stamford","537000","Single Family",2019
"Stamford","536500","Single Family",2019
"Stamford","536000","Single Family",2019
"Stamford","535000","Condo",2019
"Stamford","535000","Residential",2019
"Stamford","535000","Single Family",2019
"Stamford","535000","Two Family",2019
"Stamford","534500","Single Family",2019
"Stamford","534000","Single Family",2019
"Stamford","533540","Condo",2019
"Stamford","533350","Residential",2019
"Stamford","532500","Condo",2019
"Stamford","532500","Single Family",2019
"Stamford","532000","Single Family",2019
"Stamford","530000","Condo",2019
"Stamford","530000","Residential",2019
"Stamford","530000","Single Family",2019
"Stamford","529500","Single Family",2019
"Stamford","529000","Single Family",2019
"Stamford","528000","Single Family",2019
"Stamford","527500","Condo",2019
"Stamford","527500","Single Family",2019
"Stamford","527100","Single Family",2019
"Stamford","526322","Single Family",2019
"Stamford","525000","Condo",2019
"Stamford","525000","Residential",2019
"Stamford","525000","Single Family",2019
"Stamford","525000","Three Family",2019
"Stamford","525000","Two Family",2019
"Stamford","524475","Two Family",2019
"Stamford","524000","Single Family",2019
"Stamford","523500","Single Family",2019
"Stamford","523415","Single Family",2019
"Stamford","523000","Single Family",2019
"Stamford","522500","Condo",2019
"Stamford","522500","Single Family",2019
"Stamford","522000","Condo",2019
"Stamford","522000","Single Family",2019
"Stamford","521800","Single Family",2019
"Stamford","521500","Single Family",2019
"Stamford","521000","Single Family",2019
"Stamford","520100","Single Family",2019
"Stamford","520000","Condo",2019
"Stamford","520000","Residential",2019
"Stamford","520000","Single Family",2019
"Stamford","520000","Three Family",2019
"Stamford","520000","Two Family",2019
"Stamford","519000","Condo",2019
"Stamford","519000","Single Family",2019
"Stamford","518175","Single Family",2019
"Stamford","518000","Single Family",2019
"Stamford","517500","Single Family",2019
"Stamford","517000","Single Family",2019
"Stamford","516500","Single Family",2019
